wl,n
2.6400,2.12E-03
2.6454,2.09E-03
2.6562,1.57E-03
2.6671,7.40E-04
2.6782,5.75E-04
2.6893,1.98E-03
2.6949,2.21E-03
2.7061,2.34E-03
2.7175,2.96E-03
2.7289,2.54E-03
2.7347,1.76E-03
2.7462,1.21E-03
2.7579,8.83E-04
2.7697,2.78E-04
2.7756,2.02E-04
2.7876,1.21E-05
2.7996,3.34E-05
2.8057,8.17E-04
2.8179,9.95E-04
2.8240,1.27E-03
2.8364,1.44E-03
2.8489,1.09E-03
2.8551,5.16E-04
2.8678,2.54E-04
2.8741,5.84E-04
2.8869,1.52E-03
2.8998,2.31E-03
2.9063,2.71E-03
2.9194,3.18E-03
2.9260,2.84E-03
2.9393,1.65E-03
2.9460,1.48E-03
2.9594,2.37E-03
2.9662,2.70E-03
2.9798,1.22E-03
2.9867,7.75E-04
2.9936,1.08E-03
3.0075,1.40E-03
3.0145,1.08E-03
3.0286,5.57E-04
3.0357,3.25E-04
3.0499,3.28E-04
3.0571,1.23E-03
3.0644,2.06E-03
3.0789,1.51E-03
3.0863,6.63E-04
3.0936,1.53E-04
3.1085,3.47E-04
3.1159,6.84E-04
3.1234,8.56E-04
3.1386,1.08E-03
3.1462,1.29E-03
3.1538,1.54E-03
3.1693,1.44E-03
3.1770,1.38E-03
3.1848,1.40E-03
3.1927,1.55E-03
3.2085,1.08E-03
3.2164,6.58E-04
3.2244,7.49E-04
3.2325,1.00E-03
3.2487,1.88E-03
3.2569,2.58E-03
3.2651,3.53E-03
3.2733,4.48E-03
3.2899,7.30E-03
3.2983,9.77E-03
3.3067,1.33E-02
3.3152,1.78E-02
3.3237,2.27E-02
3.3322,2.61E-02
3.3494,2.45E-02
3.3581,2.15E-02
3.3668,2.17E-02
3.3756,2.67E-02
3.3844,3.31E-02
3.3933,3.43E-02
3.4022,2.97E-02
3.4111,2.42E-02
3.4292,1.74E-02
3.4383,1.45E-02
3.4474,1.19E-02
3.4566,9.30E-03
3.4658,7.07E-03
3.4751,5.93E-03
3.4845,5.32E-03
3.4939,4.72E-03
3.5033,4.83E-03
3.5128,5.33E-03
3.5224,5.23E-03
3.5320,4.35E-03
3.5416,3.08E-03
3.5513,2.20E-03
3.5611,2.03E-03
3.5709,2.10E-03
3.5807,1.87E-03
3.5907,1.39E-03
3.6006,1.44E-03
3.6107,2.29E-03
3.6207,2.57E-03
3.6309,1.65E-03
3.6411,7.09E-04
3.6513,6.12E-04
3.6617,8.29E-04
3.6720,6.32E-04
3.6825,7.51E-04
3.6930,1.02E-03
3.7035,8.92E-04
3.7141,4.81E-04
3.7248,1.51E-04
3.7355,7.01E-05
3.7463,1.70E-04
3.7572,4.66E-04
3.7681,6.52E-04
3.7791,1.05E-03
3.7901,1.29E-03
3.8013,1.15E-03
3.8124,1.18E-03
3.8237,1.46E-03
3.8350,1.26E-03
3.8464,1.01E-03
3.8578,1.09E-03
3.8693,1.17E-03
3.8809,9.25E-04
3.8926,7.95E-04
3.9043,8.38E-04
3.9161,9.54E-04
3.9280,9.53E-04
3.9399,8.35E-04
3.9519,6.79E-04
3.9640,2.82E-04
3.9762,2.35E-04
3.9884,2.44E-04
4.0007,6.79E-04
4.0131,1.05E-03
4.0255,1.14E-03
4.0381,1.16E-03
4.0507,1.07E-03
4.0634,1.26E-03
4.0762,1.30E-03
4.0890,7.93E-04
4.1020,6.29E-04
4.1150,1.31E-03
4.1281,1.67E-03
4.1413,1.36E-03
4.1546,1.26E-03
4.1679,1.28E-03
4.1814,1.04E-03
4.1949,8.68E-04
4.2085,9.90E-04
4.2222,1.05E-03
4.2360,1.74E-03
4.2499,2.45E-03
4.2639,2.55E-03
4.2780,2.89E-03
4.2921,1.01E-03
4.3064,3.34E-04
4.3208,3.03E-04
4.3352,5.43E-04
4.3498,8.29E-04
4.3644,1.04E-03
4.3791,9.58E-04
4.3940,6.44E-04
4.4089,4.18E-04
4.4240,6.25E-04
4.4391,8.86E-04
4.4544,1.06E-03
4.4697,1.27E-03
4.4852,9.45E-04
4.5008,7.45E-04
4.5165,9.06E-04
4.5323,1.29E-03
4.5482,1.77E-03
4.5642,1.74E-03
4.5803,1.26E-03
4.5965,8.15E-04
4.6129,7.08E-04
4.6294,1.20E-03
4.6460,1.62E-03
4.6627,1.81E-03
4.6795,2.01E-03
4.6965,2.44E-03
4.7136,2.46E-03
4.7308,1.94E-03
4.7481,1.41E-03
4.7655,1.53E-03
4.7831,1.85E-03
4.8008,1.89E-03
4.8187,2.24E-03
4.8367,2.59E-03
4.8548,2.57E-03
4.8730,2.70E-03
4.8914,2.65E-03
4.9100,2.21E-03
4.9286,1.67E-03
4.9474,1.39E-03
4.9664,1.36E-03
4.9855,1.50E-03
5.0047,2.27E-03
5.0241,3.21E-03
5.0437,3.57E-03
5.0634,3.65E-03
5.0832,3.87E-03
5.1033,4.13E-03
5.1234,3.84E-03
5.1438,3.00E-03
5.1643,2.47E-03
5.1849,2.36E-03
5.2057,2.07E-03
5.2267,2.00E-03
5.2479,2.53E-03
5.2692,2.60E-03
5.2907,2.07E-03
5.3124,1.97E-03
5.3343,2.06E-03
5.3563,1.93E-03
5.3785,1.97E-03
5.4009,2.16E-03
5.4235,2.75E-03
5.4463,3.24E-03
5.4693,3.59E-03
5.4925,4.12E-03
5.5159,4.86E-03
5.5394,5.26E-03
5.5632,5.45E-03
5.5872,5.80E-03
5.6114,6.47E-03
